OFFENSE,WARD,LATITUDE,LONGITUDE
ASSAULT W/DANGEROUS WEAPON,7,38.889093908,-76.9372513747
THEFT F/AUTO,5,38.9221565889,-76.9566003952
THEFT F/AUTO,4,38.9748378665,-77.014324859
THEFT F/AUTO,4,38.9443793978,-77.0129432612
THEFT F/AUTO,4,38.9619795615,-77.0279498335
THEFT/OTHER,2,38.897354289,-77.0477556143
THEFT/OTHER,1,38.9295168861,-77.0327298633
THEFT F/AUTO,1,38.9217051624,-77.043451684
THEFT F/AUTO,4,38.9461242026,-77.0304623114
THEFT F/AUTO,8,38.8643949084,-76.9758712003
THEFT/OTHER,1,38.9186477371,-77.0296199819
THEFT F/AUTO,4,38.969279362,-77.025737247
THEFT F/AUTO,2,38.901931564,-77.0394498536
THEFT/OTHER,2,38.9114924184,-77.0169593206
MOTOR VEHICLE THEFT,1,38.9237628124,-77.0275376912
THEFT F/AUTO,2,38.9102765245,-77.025989098
THEFT F/AUTO,7,38.8878008601,-76.9182031193
THEFT F/AUTO,4,38.9445079468,-77.0278945349
THEFT/OTHER,1,38.9215557272,-77.033572058
THEFT/OTHER,2,38.9122368826,-77.0319516027
THEFT F/AUTO,4,38.9849789048,-77.0443561486
THEFT/OTHER,2,38.8978328702,-77.0270341747
THEFT/OTHER,8,38.8216256757,-77.0110811748
THEFT/OTHER,2,38.9162259346,-77.0681648844
THEFT F/AUTO,2,38.9148331356,-77.0355214839
